id	course	module	instance	section	idnumber	added	score	indent	visible	visibleoncoursepage	visibleold	groupmode	groupingid	completion	completiongradeitemnumber	completionview	completionexpected	showdescription	availability	deletioninprogress
21	3	17	7	9		1429550261	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
22	3	17	8	9		1428938165	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
23	3	9	7	9		1428603022	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
24	3	12	3	9	NULL	1429551752	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
25	3	3	1	9		1429620919	0	1	1	1	1	0	0	0	NULL	0	0	0	NULL	0
26	3	3	2	9		1429550472	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
27	3	12	4	9	NULL	1429474369	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
28	3	17	9	9		1429807515	0	2	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1430017200}],"showc":[true]}	0
29	3	16	1	9		1430418777	0	2	1	1	1	0	0	0	NULL	0	0	0	NULL	0
30	3	12	5	9	NULL	1429811030	0	0	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1430622000}],"showc":[false]}	0
31	3	3	3	9		1429811010	0	1	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1430622000}],"showc":[false]}	0
32	3	3	4	9		1430420935	0	1	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1430622000}],"showc":[false]}	0
33	3	12	6	9	NULL	1431105477	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
34	3	17	10	9		1431105391	0	2	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1431226800}],"showc":[false]}	0
35	3	1	4	9		1431970446	0	2	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1432008000}],"showc":[false]}	0
36	3	12	7	9	NULL	1431973036	0	0	1	1	1	0	0	0	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1432004400}],"showc":[true]}	0
37	3	3	5	9		1431106214	0	1	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1432004400}],"showc":[false]}	0
38	3	12	8	9	NULL	1431105477	0	1	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1432177200}],"showc":[true]}	0
39	3	1	5	9		1431971035	0	2	1	1	1	0	0	1	NULL	0	0	0	NULL	0
40	3	12	9	9	NULL	1431973318	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
41	3	3	6	9		1431106612	0	1	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1433214000}],"showc":[false]}	0
42	3	3	7	9		1431106802	0	1	1	1	1	0	0	1	NULL	0	0	0	{"op":"&","c":[{"type":"date","d":">=","t":1433214000}],"showc":[false]}	0
43	3	17	11	9		1435014499	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
44	3	17	12	10		1428604083	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
45	3	17	13	10		1428933941	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
46	3	9	8	10		1428600043	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
47	3	12	10	10	NULL	1429121570	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
48	3	3	8	10		1428935481	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
49	3	17	14	10		1428935314	0	1	1	1	1	0	0	0	NULL	0	0	0	NULL	0
50	3	12	11	10	NULL	1428939239	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
51	3	9	9	10		1428685738	0	2	1	1	1	1	0	2	NULL	1	1428462000	0	{"op":"&","c":[{"type":"date","d":">=","t":1430708400},{"type":"date","d":"<","t":1431140100}],"showc":[true,true]}	0
52	3	1	6	10		1428688101	0	2	1	1	1	1	0	2	0	1	0	0	NULL	0
53	3	1	7	10		1428934087	0	2	1	1	1	0	0	1	NULL	0	0	0	NULL	0
54	3	12	12	10	NULL	1429900813	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
55	3	3	9	10		1429894532	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
56	3	12	13	10	NULL	1429900855	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
57	3	17	15	10		1429897015	0	2	1	1	1	0	0	1	NULL	0	0	0	NULL	0
58	3	9	10	10		1429898277	0	2	1	1	1	0	0	1	NULL	0	0	0	NULL	0
59	3	17	16	10		1429899644	0	2	1	1	1	0	0	1	NULL	0	0	0	NULL	0
60	3	1	8	10		1429900564	0	2	1	1	1	0	0	1	NULL	0	0	0	NULL	0
61	3	12	14	10	NULL	1432144434	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
62	3	3	10	10		1432144471	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
63	3	12	15	10	NULL	1432145328	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
64	3	1	9	10		1432145254	0	1	1	1	1	0	0	1	NULL	0	0	0	NULL	0
65	3	12	16	10	NULL	1433525076	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
66	3	3	11	10		1433523363	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
67	3	12	17	10	NULL	1433525120	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
68	3	1	10	10		1433527804	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
69	3	16	2	10		1433865958	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
70	3	9	11	6	F270788	1498777607	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
